neighborhood_id,name,latitude,longitude,daily_orders,zone
N0090,South Port #90,17.540704,78.394747,38,Cluster-6
N0091,East End #91,17.495727,78.648718,126,Cluster-1
N0092,West Industrial #92,17.19171,78.389116,116,Cluster-2
N0093,Riverside #93,17.255536,78.594143,80,Cluster-3
N0094,Lakeview #94,17.261487,78.605796,133,Cluster-4
N0095,Metro Hub #95,17.208468,78.463026,12,Cluster-5
N0096,Airport Road #96,17.508852,78.399827,116,Cluster-6
N0097,Grand Square #97,17.524117,78.744983,127,Cluster-1
N0098,Innovation Zone #98,17.215679,78.399713,63,Cluster-2
N0099,Sunrise Colony #99,17.178947,78.675525,89,Cluster-3
N0100,Midtown #100,17.337636,78.683084,103,Cluster-4
N0101,Downtown #101,17.249655,78.51823,156,Cluster-5
N0102,Market Central #102,17.548972,78.373977,73,Cluster-6
N0103,Tech Park #103,17.452705,78.695179,158,Cluster-1
N0104,Cyber City #104,17.139077,78.314708,74,Cluster-2
N0105,Financial District #105,17.308988,78.617387,63,Cluster-3
N0106,Old Quarter #106,17.270356,78.723415,94,Cluster-4
N0107,Harbor View #107,17.284342,78.472396,40,Cluster-5
N0108,Green Hills #108,17.534768,78.326351,88,Cluster-6
N0109,North Gateway #109,17.462174,78.720227,54,Cluster-1
N0110,South Port #110,17.18845,78.279239,73,Cluster-2
N0111,East End #111,17.181947,78.604812,152,Cluster-3
N0112,West Industrial #112,17.292066,78.673794,89,Cluster-4
N0113,Riverside #113,17.246393,78.44448,159,Cluster-5
N0114,Lakeview #114,17.528496,78.285751,25,Cluster-6
N0115,Metro Hub #115,17.477874,78.725104,38,Cluster-1
N0116,Airport Road #116,17.158569,78.423314,52,Cluster-2
N0117,Grand Square #117,17.235805,78.63955,76,Cluster-3
N0118,Innovation Zone #118,17.240395,78.669942,200,Cluster-4
N0119,Sunrise Colony #119,17.295127,78.524912,191,Cluster-5
N0120,Midtown #120,17.499511,78.267822,130,Cluster-6
N0121,Downtown #121,17.497322,78.7099,155,Cluster-1
N0122,Market Central #122,17.193144,78.363184,99,Cluster-2
N0123,Tech Park #123,17.31734,78.568732,113,Cluster-3
N0124,Cyber City #124,17.217589,78.612828,14,Cluster-4
N0125,Financial District #125,17.254483,78.475575,150,Cluster-5
N0126,Old Quarter #126,17.597597,78.36969,42,Cluster-6
N0127,Harbor View #127,17.457453,78.7029,147,Cluster-1
N0128,Green Hills #128,17.161572,78.343939,17,Cluster-2
N0129,North Gateway #129,17.27994,78.616254,25,Cluster-3
N0130,South Port #130,17.279501,78.678761,64,Cluster-4
N0131,East End #131,17.245519,78.495159,200,Cluster-5
N0132,West Industrial #132,17.520311,78.383956,132,Cluster-6
N0133,Riverside #133,17.451881,78.610271,26,Cluster-1
N0134,Lakeview #134,17.19006,78.366757,116,Cluster-2
N0135,Metro Hub #135,17.212697,78.662734,63,Cluster-3
N0136,Airport Road #136,17.231803,78.602619,13,Cluster-4
N0137,Grand Square #137,17.238795,78.467953,145,Cluster-5
N0138,Innovation Zone #138,17.463503,78.380466,124,Cluster-6
N0139,Sunrise Colony #139,17.428904,78.708233,111,Cluster-1
N0140,Midtown #140,17.155759,78.419384,14,Cluster-2
N0141,Downtown #141,17.276086,78.638131,149,Cluster-3
N0142,Market Central #142,17.218593,78.699628,40,Cluster-4
N0143,Tech Park #143,17.259134,78.479387,185,Cluster-5
N0144,Cyber City #144,17.543767,78.331495,41,Cluster-6
N0145,Financial District #145,17.420842,78.678437,138,Cluster-1
N0146,Old Quarter #146,17.189824,78.399282,174,Cluster-2
N0147,Harbor View #147,17.263411,78.679574,149,Cluster-3
N0148,Green Hills #148,17.199789,78.687311,49,Cluster-4
N0149,North Gateway #149,17.24936,78.5423,119,Cluster-5
N0150,South Port #150,17.52774,78.380617,175,Cluster-6
N0151,East End #151,17.527796,78.711085,199,Cluster-1
N0152,West Industrial #152,17.208726,78.369336,120,Cluster-2
N0153,Riverside #153,17.266011,78.573666,31,Cluster-3
N0154,Lakeview #154,17.215502,78.69019,138,Cluster-4
N0155,Metro Hub #155,17.178851,78.496054,76,Cluster-5
N0156,Airport Road #156,17.523973,78.383281,115,Cluster-6
N0157,Grand Square #157,17.406193,78.607593,186,Cluster-1
N0158,Innovation Zone #158,17.226347,78.387671,129,Cluster-2
N0159,Sunrise Colony #159,17.275549,78.693335,27,Cluster-3
N0160,Midtown #160,17.25129,78.594605,24,Cluster-4
N0161,Downtown #161,17.230448,78.522611,141,Cluster-5
N0162,Market Central #162,17.508385,78.357951,88,Cluster-6
N0163,Tech Park #163,17.444695,78.73567,111,Cluster-1
N0164,Cyber City #164,17.23105,78.317367,60,Cluster-2
N0165,Financial District #165,17.328097,78.605819,107,Cluster-3
N0166,Old Quarter #166,17.316488,78.618408,149,Cluster-4
N0167,Harbor View #167,17.280168,78.471918,74,Cluster-5
N0168,Green Hills #168,17.51787,78.401375,24,Cluster-6
N0169,North Gateway #169,17.439838,78.693478,49,Cluster-1
N0170,South Port #170,17.198137,78.427226,157,Cluster-2
N0171,East End #171,17.309189,78.70294,43,Cluster-3
N0172,West Industrial #172,17.255863,78.681468,24,Cluster-4
N0173,Riverside #173,17.221427,78.464581,36,Cluster-5
N0174,Lakeview #174,17.476881,78.360754,78,Cluster-6
N0175,Metro Hub #175,17.471352,78.682676,172,Cluster-1
N0176,Airport Road #176,17.207487,78.333972,108,Cluster-2
N0177,Grand Square #177,17.322059,78.645398,129,Cluster-3
N0178,Innovation Zone #178,17.283624,78.679145,183,Cluster-4
N0179,Sunrise Colony #179,17.210597,78.480725,86,Cluster-5
N0180,Midtown #180,17.407346,78.376866,157,Cluster-6
N0181,Downtown #181,17.463414,78.72634,58,Cluster-1
N0182,Market Central #182,17.125566,78.380741,18,Cluster-2
N0183,Tech Park #183,17.250382,78.587915,115,Cluster-3
N0184,Cyber City #184,17.193541,78.623475,170,Cluster-4
N0185,Financial District #185,17.276028,78.528722,55,Cluster-5
N0186,Old Quarter #186,17.472703,78.362934,151,Cluster-6
N0187,Harbor View #187,17.482501,78.693857,63,Cluster-1
N0188,Green Hills #188,17.133918,78.361592,47,Cluster-2
N0189,North Gateway #189,17.210629,78.671363,132,Cluster-3
N0190,South Port #190,17.336453,78.664681,141,Cluster-4
N0191,East End #191,17.165961,78.522618,82,Cluster-5
N0192,West Industrial #192,17.5781,78.423167,120,Cluster-6
N0193,Riverside #193,17.471642,78.701331,35,Cluster-1
N0194,Lakeview #194,17.190659,78.409995,94,Cluster-2
N0195,Metro Hub #195,17.294233,78.60657,62,Cluster-3
N0196,Airport Road #196,17.224548,78.653999,168,Cluster-4
N0197,Grand Square #197,17.233325,78.499672,199,Cluster-5
N0198,Innovation Zone #198,17.562689,78.321209,62,Cluster-6
N0199,Sunrise Colony #199,17.498156,78.674724,200,Cluster-1
N0200,Midtown #200,17.086522,78.369022,26,Cluster-2
N0201,Downtown #201,17.251526,78.654224,151,Cluster-3
N0202,Market Central #202,17.265911,78.666273,186,Cluster-4
N0203,Tech Park #203,17.21278,78.527531,172,Cluster-5
N0204,Cyber City #204,17.499532,78.325533,179,Cluster-6
N0205,Financial District #205,17.44329,78.662219,140,Cluster-1
N0206,Old Quarter #206,17.18331,78.36722,172,Cluster-2
N0207,Harbor View #207,17.248309,78.661304,132,Cluster-3
N0208,Green Hills #208,17.273189,78.686012,78,Cluster-4
N0209,North Gateway #209,17.230541,78.468228,96,Cluster-5
N0210,South Port #210,17.515195,78.363668,152,Cluster-6
N0211,East End #211,17.495446,78.671678,192,Cluster-1
N0212,West Industrial #212,17.144953,78.352968,31,Cluster-2
N0213,Riverside #213,17.32317,78.600014,67,Cluster-3
N0214,Lakeview #214,17.200728,78.655829,195,Cluster-4
N0215,Metro Hub #215,17.303361,78.496184,62,Cluster-5
N0216,Airport Road #216,17.533639,78.311325,104,Cluster-6
N0217,Grand Square #217,17.413138,78.681849,175,Cluster-1
N0218,Innovation Zone #218,17.171229,78.397882,158,Cluster-2
N0219,Sunrise Colony #219,17.22235,78.672704,63,Cluster-3
N0220,Midtown #220,17.292918,78.609879,135,Cluster-4
N0221,Downtown #221,17.250046,78.482432,100,Cluster-5
N0222,Market Central #222,17.574083,78.377305,63,Cluster-6
N0223,Tech Park #223,17.499378,78.679144,51,Cluster-1
N0224,Cyber City #224,17.198373,78.461693,27,Cluster-2
N0225,Financial District #225,17.334149,78.572055,175,Cluster-3
N0226,Old Quarter #226,17.258584,78.675339,136,Cluster-4
N0227,Harbor View #227,17.203659,78.464539,116,Cluster-5
N0228,Green Hills #228,17.529851,78.404034,26,Cluster-6
N0229,North Gateway #229,17.48425,78.666607,54,Cluster-1
N0230,South Port #230,17.150002,78.306989,105,Cluster-2
N0231,East End #231,17.315286,78.613775,72,Cluster-3
N0232,West Industrial #232,17.21495,78.678866,108,Cluster-4
N0233,Riverside #233,17.238403,78.492044,155,Cluster-5
N0234,Lakeview #234,17.546459,78.351239,47,Cluster-6
N0235,Metro Hub #235,17.428653,78.676718,31,Cluster-1
N0236,Airport Road #236,17.18963,78.343774,199,Cluster-2
N0237,Grand Square #237,17.222256,78.595814,19,Cluster-3
N0238,Innovation Zone #238,17.273868,78.717185,167,Cluster-4
N0239,Sunrise Colony #239,17.286213,78.459227,111,Cluster-5
N0240,Midtown #240,17.498949,78.322283,90,Cluster-6
N0241,Downtown #241,17.530447,78.66421,41,Cluster-1
N0242,Market Central #242,17.186003,78.366195,195,Cluster-2
N0243,Tech Park #243,17.267014,78.595769,95,Cluster-3
N0244,Cyber City #244,17.223357,78.633117,70,Cluster-4
N0245,Financial District #245,17.158242,78.501969,21,Cluster-5
N0246,Old Quarter #246,17.549302,78.404545,189,Cluster-6
N0247,Harbor View #247,17.520684,78.716702,154,Cluster-1
N0248,Green Hills #248,17.184782,78.403494,21,Cluster-2
N0249,North Gateway #249,17.242444,78.663172,92,Cluster-3
N0250,South Port #250,17.235071,78.581394,130,Cluster-4
N0251,East End #251,17.240315,78.494894,75,Cluster-5
N0252,West Industrial #252,17.482018,78.386396,163,Cluster-6
N0253,Riverside #253,17.507598,78.639615,63,Cluster-1
N0254,Lakeview #254,17.21391,78.41537,36,Cluster-2
N0255,Metro Hub #255,17.227699,78.617935,107,Cluster-3
N0256,Airport Road #256,17.206728,78.645321,134,Cluster-4
N0257,Grand Square #257,17.239666,78.535345,178,Cluster-5
N0258,Innovation Zone #258,17.500876,78.312127,56,Cluster-6
N0259,Sunrise Colony #259,17.355261,78.657429,175,Cluster-1
N0260,Midtown #260,17.141129,78.390411,93,Cluster-2
N0261,Downtown #261,17.269192,78.576063,78,Cluster-3
N0262,Market Central #262,17.257917,78.658761,112,Cluster-4
N0263,Tech Park #263,17.23252,78.473597,31,Cluster-5
N0264,Cyber City #264,17.557124,78.390803,76,Cluster-6
N0265,Financial District #265,17.472436,78.724067,172,Cluster-1
N0266,Old Quarter #266,17.188545,78.388694,140,Cluster-2
N0267,Harbor View #267,17.27995,78.624257,47,Cluster-3
N0268,Green Hills #268,17.202901,78.731023,34,Cluster-4
N0269,North Gateway #269,17.27459,78.445085,197,Cluster-5
N0270,South Port #270,17.488767,78.330028,83,Cluster-6
N0271,East End #271,17.412265,78.69519,21,Cluster-1
N0272,West Industrial #272,17.240153,78.397789,80,Cluster-2
N0273,Riverside #273,17.31596,78.618844,157,Cluster-3
N0274,Lakeview #274,17.254424,78.632586,107,Cluster-4
N0275,Metro Hub #275,17.24218,78.531972,182,Cluster-5
N0276,Airport Road #276,17.548441,78.406389,75,Cluster-6
N0277,Grand Square #277,17.451512,78.715345,22,Cluster-1
N0278,Innovation Zone #278,17.238327,78.404248,119,Cluster-2
N0279,Sunrise Colony #279,17.212234,78.644491,76,Cluster-3
N0280,Midtown #280,17.253767,78.641904,182,Cluster-4
N0281,Downtown #281,17.205171,78.462916,20,Cluster-5
N0282,Market Central #282,17.563753,78.373906,169,Cluster-6
N0283,Tech Park #283,17.524618,78.616155,151,Cluster-1
N0284,Cyber City #284,17.202182,78.442194,181,Cluster-2
N0285,Financial District #285,17.325534,78.61442,69,Cluster-3
N0286,Old Quarter #286,17.301143,78.706552,113,Cluster-4
N0287,Harbor View #287,17.283007,78.500491,127,Cluster-5
N0288,Green Hills #288,17.558874,78.402538,31,Cluster-6
N0289,North Gateway #289,17.444666,78.583026,12,Cluster-1
N0290,South Port #290,17.227489,78.422662,156,Cluster-2
N0291,East End #291,17.28759,78.619723,154,Cluster-3
N0292,West Industrial #292,17.231252,78.609274,108,Cluster-4
N0293,Riverside #293,17.29888,78.489982,39,Cluster-5
N0294,Lakeview #294,17.553464,78.356787,118,Cluster-6
N0295,Metro Hub #295,17.383644,78.711532,15,Cluster-1
N0296,Airport Road #296,17.230702,78.452362,15,Cluster-2
N0297,Grand Square #297,17.257824,78.617372,150,Cluster-3
N0298,Innovation Zone #298,17.251203,78.629099,128,Cluster-4
N0299,Sunrise Colony #299,17.211249,78.515691,146,Cluster-5
N0300,Midtown #300,17.515658,78.350213,36,Cluster-6
N0301,Downtown #301,17.480055,78.66967,119,Cluster-1
N0302,Market Central #302,17.27247,78.373339,138,Cluster-2
N0303,Tech Park #303,17.3161,78.660191,110,Cluster-3
N0304,Cyber City #304,17.279774,78.679966,51,Cluster-4
N0305,Financial District #305,17.236588,78.493045,191,Cluster-5
N0306,Old Quarter #306,17.502422,78.382959,18,Cluster-6
N0307,Harbor View #307,17.500287,78.593028,20,Cluster-1
N0308,Green Hills #308,17.142979,78.339955,41,Cluster-2
N0309,North Gateway #309,17.284107,78.657058,179,Cluster-3
N0310,South Port #310,17.23066,78.721604,101,Cluster-4
N0311,East End #311,17.228042,78.512393,71,Cluster-5
N0312,West Industrial #312,17.55135,78.363033,75,Cluster-6
N0313,Riverside #313,17.502364,78.668289,82,Cluster-1
N0314,Lakeview #314,17.186522,78.387529,125,Cluster-2
N0315,Metro Hub #315,17.287565,78.686613,91,Cluster-3
N0316,Airport Road #316,17.218314,78.615782,77,Cluster-4
N0317,Grand Square #317,17.264597,78.415701,63,Cluster-5
N0318,Innovation Zone #318,17.524945,78.390066,158,Cluster-6
N0319,Sunrise Colony #319,17.403985,78.650992,194,Cluster-1
N0320,Midtown #320,17.176314,78.379163,154,Cluster-2
N0321,Downtown #321,17.260853,78.648639,143,Cluster-3
N0322,Market Central #322,17.269395,78.608481,111,Cluster-4
N0323,Tech Park #323,17.285187,78.482022,97,Cluster-5
N0324,Cyber City #324,17.508547,78.40962,147,Cluster-6
N0325,Financial District #325,17.446816,78.649744,77,Cluster-1
N0326,Old Quarter #326,17.120838,78.429657,109,Cluster-2
N0327,Harbor View #327,17.1983,78.585904,140,Cluster-3
N0328,Green Hills #328,17.17028,78.651846,17,Cluster-4
N0329,North Gateway #329,17.17568,78.535583,68,Cluster-5
N0330,South Port #330,17.499127,78.326276,26,Cluster-6
N0331,East End #331,17.479096,78.642481,50,Cluster-1
N0332,West Industrial #332,17.182878,78.416921,54,Cluster-2
N0333,Riverside #333,17.232836,78.620562,65,Cluster-3
N0334,Lakeview #334,17.219124,78.655069,183,Cluster-4
N0335,Metro Hub #335,17.348983,78.414608,71,Cluster-5
N0336,Airport Road #336,17.555465,78.371177,123,Cluster-6
N0337,Grand Square #337,17.441359,78.719179,183,Cluster-1
N0338,Innovation Zone #338,17.231317,78.350706,89,Cluster-2
N0339,Sunrise Colony #339,17.258048,78.61185,64,Cluster-3
N0340,Midtown #340,17.261071,78.673087,188,Cluster-4
N0341,Downtown #341,17.240838,78.508462,99,Cluster-5
N0342,Market Central #342,17.54136,78.423503,23,Cluster-6
N0343,Tech Park #343,17.435579,78.679601,33,Cluster-1
N0344,Cyber City #344,17.273489,78.360358,100,Cluster-2
N0345,Financial District #345,17.304505,78.598402,16,Cluster-3
N0346,Old Quarter #346,17.270808,78.660224,51,Cluster-4
N0347,Harbor View #347,17.255925,78.48207,99,Cluster-5
N0348,Green Hills #348,17.569046,78.367751,14,Cluster-6
N0349,North Gateway #349,17.460054,78.699477,161,Cluster-1
N0350,South Port #350,17.162483,78.298062,18,Cluster-2
N0351,East End #351,17.208372,78.607942,77,Cluster-3
N0352,West Industrial #352,17.305719,78.750065,130,Cluster-4
N0353,Riverside #353,17.194199,78.498698,39,Cluster-5
N0354,Lakeview #354,17.499513,78.378393,118,Cluster-6
N0355,Metro Hub #355,17.420786,78.695213,59,Cluster-1
N0356,Airport Road #356,17.159321,78.340077,178,Cluster-2
N0357,Grand Square #357,17.23811,78.560438,124,Cluster-3
N0358,Innovation Zone #358,17.269003,78.635193,98,Cluster-4
N0359,Sunrise Colony #359,17.29414,78.523428,144,Cluster-5
N0360,Midtown #360,17.566952,78.354357,172,Cluster-6
N0361,Downtown #361,17.512829,78.730652,25,Cluster-1
N0362,Market Central #362,17.17376,78.386487,162,Cluster-2
N0363,Tech Park #363,17.312824,78.640597,156,Cluster-3
N0364,Cyber City #364,17.220555,78.706942,98,Cluster-4
N0365,Financial District #365,17.284775,78.460354,51,Cluster-5
N0366,Old Quarter #366,17.539537,78.370441,115,Cluster-6
N0367,Harbor View #367,17.506428,78.655258,80,Cluster-1
N0368,Green Hills #368,17.234701,78.418466,75,Cluster-2
N0369,North Gateway #369,17.248451,78.614548,117,Cluster-3
N0370,South Port #370,17.204136,78.719569,157,Cluster-4
N0371,East End #371,17.207731,78.486234,119,Cluster-5
N0372,West Industrial #372,17.591477,78.399269,122,Cluster-6
N0373,Riverside #373,17.47761,78.692113,52,Cluster-1
N0374,Lakeview #374,17.180961,78.333396,137,Cluster-2
N0375,Metro Hub #375,17.28236,78.593167,170,Cluster-3
N0376,Airport Road #376,17.32202,78.607383,134,Cluster-4
N0377,Grand Square #377,17.231981,78.494666,106,Cluster-5
N0378,Innovation Zone #378,17.502677,78.371127,69,Cluster-6
N0379,Sunrise Colony #379,17.491254,78.736666,153,Cluster-1
N0380,Midtown #380,17.193682,78.384534,168,Cluster-2
N0381,Downtown #381,17.275288,78.637239,151,Cluster-3
N0382,Market Central #382,17.219964,78.667998,147,Cluster-4
N0383,Tech Park #383,17.286858,78.497892,135,Cluster-5
N0384,Cyber City #384,17.524698,78.365451,44,Cluster-6
N0385,Financial District #385,17.487548,78.698639,35,Cluster-1
N0386,Old Quarter #386,17.204605,78.372881,130,Cluster-2
N0387,Harbor View #387,17.179042,78.612281,53,Cluster-3
N0388,Green Hills #388,17.244799,78.633791,147,Cluster-4
N0389,North Gateway #389,17.266433,78.460461,17,Cluster-5
N0390,South Port #390,17.445685,78.400319,61,Cluster-6
N0391,East End #391,17.458316,78.682892,71,Cluster-1
N0392,West Industrial #392,17.125029,78.371049,25,Cluster-2
N0393,Riverside #393,17.256539,78.637364,18,Cluster-3
N0394,Lakeview #394,17.277724,78.643582,10,Cluster-4
N0395,Metro Hub #395,17.233847,78.555839,100,Cluster-5
N0396,Airport Road #396,17.518637,78.422733,150,Cluster-6
N0397,Grand Square #397,17.404485,78.676024,180,Cluster-1
N0398,Innovation Zone #398,17.231616,78.409988,166,Cluster-2
N0399,Sunrise Colony #399,17.315557,78.621318,98,Cluster-3
N0400,Midtown #400,17.250559,78.580183,148,Cluster-4
N0401,Downtown #401,17.192265,78.512621,159,Cluster-5
N0402,Market Central #402,17.501683,78.400814,31,Cluster-6
N0403,Tech Park #403,17.455582,78.702489,39,Cluster-1
N0404,Cyber City #404,17.157906,78.345456,132,Cluster-2
N0405,Financial District #405,17.299946,78.655512,36,Cluster-3
N0406,Old Quarter #406,17.245914,78.697926,112,Cluster-4
N0407,Harbor View #407,17.273487,78.535211,35,Cluster-5
N0408,Green Hills #408,17.51218,78.342042,170,Cluster-6
N0409,North Gateway #409,17.46791,78.69531,171,Cluster-1
N0410,South Port #410,17.140926,78.302421,74,Cluster-2
N0411,East End #411,17.275839,78.679666,70,Cluster-3
N0412,West Industrial #412,17.250008,78.657446,11,Cluster-4
N0413,Riverside #413,17.2483,78.500817,45,Cluster-5
N0414,Lakeview #414,17.487997,78.379515,63,Cluster-6
N0415,Metro Hub #415,17.508034,78.69712,29,Cluster-1
N0416,Airport Road #416,17.182726,78.411772,174,Cluster-2
N0417,Grand Square #417,17.283041,78.597018,170,Cluster-3
N0418,Innovation Zone #418,17.291524,78.697171,152,Cluster-4
N0419,Sunrise Colony #419,17.254021,78.510414,148,Cluster-5
N0420,Midtown #420,17.531874,78.342539,108,Cluster-6
N0421,Downtown #421,17.489095,78.684009,149,Cluster-1
N0422,Market Central #422,17.227586,78.365018,175,Cluster-2
N0423,Tech Park #423,17.234753,78.602588,185,Cluster-3
N0424,Cyber City #424,17.282463,78.665604,47,Cluster-4
N0425,Financial District #425,17.222712,78.446844,158,Cluster-5
N0426,Old Quarter #426,17.613508,78.373099,102,Cluster-6
N0427,Harbor View #427,17.444208,78.665223,99,Cluster-1
N0428,Green Hills #428,17.228914,78.37352,17,Cluster-2
N0429,North Gateway #429,17.223677,78.631203,171,Cluster-3
N0430,South Port #430,17.302985,78.712598,112,Cluster-4
N0431,East End #431,17.288323,78.468274,110,Cluster-5
N0432,West Industrial #432,17.472942,78.355407,183,Cluster-6
N0433,Riverside #433,17.451474,78.682287,129,Cluster-1
N0434,Lakeview #434,17.21985,78.363269,51,Cluster-2
N0435,Metro Hub #435,17.23415,78.594232,176,Cluster-3
N0436,Airport Road #436,17.270985,78.681654,95,Cluster-4
N0437,Grand Square #437,17.27307,78.445808,79,Cluster-5
N0438,Innovation Zone #438,17.506583,78.416281,73,Cluster-6
N0439,Sunrise Colony #439,17.480126,78.725218,191,Cluster-1
N0440,Midtown #440,17.221286,78.410563,170,Cluster-2
N0441,Downtown #441,17.239637,78.630007,198,Cluster-3
N0442,Market Central #442,17.25636,78.752513,142,Cluster-4
N0443,Tech Park #443,17.267522,78.489212,61,Cluster-5
N0444,Cyber City #444,17.529899,78.384896,102,Cluster-6
N0445,Financial District #445,17.459098,78.708787,46,Cluster-1
N0446,Old Quarter #446,17.226088,78.47383,36,Cluster-2
N0447,Harbor View #447,17.314877,78.645748,61,Cluster-3
N0448,Green Hills #448,17.223585,78.622497,114,Cluster-4
N0449,North Gateway #449,17.276609,78.537869,59,Cluster-5
N0450,South Port #450,17.576149,78.381065,80,Cluster-6
N0451,East End #451,17.467083,78.679649,88,Cluster-1
N0452,West Industrial #452,17.216955,78.308684,71,Cluster-2
